,AVAIL,CPUS,TMP_DISK,FEATURES,GROUPS,SHARE,TIMELIMIT,MEMORY,HOSTNAMES,NODE_ADDR,PRIORITY,ROOT,JOB_SIZE,STATE,USER,VERSION,WEIGHT,S:C:T,NODES(A/I) ,MAX_CPUS_PER_NODE ,CPUS(A/I/O/T) ,NODES ,REASON ,NODES(A/I/O/T) ,GRES ,TIMESTAMP ,DEFAULTTIME ,PREEMPT_MODE ,NODELIST ,CPU_LOAD ,PARTITION ,PARTITION .1,ALLOCNODES ,STATE ,USER ,SOCKETS ,CORES ,THREADS 
10,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba33-16c,udc-ba33-16c,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-04T00:00:03 ,5:00:00 ,OFF ,udc-ba33-16c ,1.01 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
11,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba33-22g,udc-ba33-22g,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T16:05:01 ,5:00:00 ,OFF ,udc-ba33-22g ,19.75 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
12,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba33-28e,udc-ba33-28e,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T11:05:02 ,5:00:00 ,OFF ,udc-ba33-28e ,16.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
13,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba34-4g,udc-ba34-4g,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T11:30:02 ,5:00:00 ,OFF ,udc-ba34-4g ,20.10 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
14,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba34-4h,udc-ba34-4h,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T23:05:01 ,5:00:00 ,OFF ,udc-ba34-4h ,20.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
15,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba34-4j,udc-ba34-4j,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T18:40:01 ,5:00:00 ,OFF ,udc-ba34-4j ,20.08 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
16,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba34-10d,udc-ba34-10d,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T17:40:02 ,5:00:00 ,OFF ,udc-ba34-10d ,20.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
17,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba35-10b,udc-ba35-10b,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T23:20:01 ,5:00:00 ,OFF ,udc-ba35-10b ,19.98 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
18,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-4j,udc-ba38-4j,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T11:10:02 ,5:00:00 ,OFF ,udc-ba38-4j ,0.15 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
19,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-10a,udc-ba38-10a,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T19:00:03 ,5:00:00 ,OFF ,udc-ba38-10a ,0.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
